id,appTitle,userName,date,score,text,original_text,bug_report
558566,Google,Mahmud Mirza,"May 8, 2019",4,it is good l hope that i can install it,it is good. l hope that I can install it.,
558570,Google,Sultan Sultan,"May 8, 2019",5,kisvideo f,"xxx,video,2019 f",
558572,Google,Jak na gymnastiku,"May 8, 2019",3,vicky key potent ze soda obrazovky aby se mi net goole tak po vyhledn ehokoliv spade,"Vždycky, když potáhnu ze spoda obrazovky, aby se mi načetl google, tak po vyhledání ČEHOKOLIV spadne 😒",
558581,Google,A Google User,"May 8, 2019",5,the effect of drug abuse,the effect of drug abuse,
558587,Google,Tipu Sultan,"May 8, 2019",5,world no one,world no. one,
558588,Google,Justin Hill,"May 8, 2019",3,goole i need help recovering every thing that was stolen by hacker software and finance,google i need help recovering every thing that was stolen by hacker software and financle,
558590,Google,Kamal Harchandani,"May 8, 2019",5,goole is very amazing application a goole give a lot of information for my school project and also help is me to research on thing also love goole because of thing i can learn frenchitalian and spanish,"Google is very amazing app as it gives a lot of information for my school project and also help's me to research on things.I also love Google because of it I can learn French,Italian and Spanish.",
558594,Google,teresa Schroeder,"May 8, 2019",5,most of time its great but sometimes you have to say its time before its connects,most of time its great but sometimes you have to say it 3-4 times before it connects,
558595,Google,Mahendra sundi,"May 8, 2019",5,best application in the world,best app in the warld,
558603,Google,Hollie Louise,"May 7, 2019",4,easy to use,easy to use.,
558608,Google,Suranjit Sarkar,"May 7, 2019",3,f e,", ff , 3e",
558609,Google,rejath paul,"May 7, 2019",3,the reminder that i deleted keep coming back again please fix this,"the reminders that i deleted keep coming back again, please fix this",
558611,Google,akshay Tyagi,"May 7, 2019",5,it is just superb,It's just superb.,
558613,Google,J Mustaleski,"May 7, 2019",1,shut it off please,shut it off . PLEASE,
558616,Google,Salsabilla Nayla,"May 7, 2019",5,i do not know what i can say,I don't know what I can say:v,
558620,Google,trần thế duy,"May 7, 2019",4,vit nam th ng voice match king th ch hot hi non ng in thou l ting vit,"Ở Việt Nam, tính năng Voice Match không thể kích hoạt khi ngôn ngữ điện thoại là Tiếng Việt",
558630,Google,Bir Bhagat,"May 7, 2019",3,innumerable johnny uh n nun uh why cuff it bohm h uh you hi h chi the hutton uh jug by why uh h fujitsu you you unity tutu why that b he full tiny uh i try typing p,innumerable?n Johnny uhh nn nun :/ ::) uhh y cuff 8 itty by)hmm h uhh u ::) hi h Chui hthe Hutton uhh jug by y uhh hh jujitsu u u unity TUTU y ghat þ b h6y full Tianyu uhh i Try typing pp,
558631,Google,Quynh Vinh,"May 7, 2019",1,miami black shark k c,xiaomi black shark k đc,
558633,Google,jaipriya s,"May 7, 2019",1,i am getting unnecessary bad add in my phone why do i get like that,I am getting unnecessary bad adds in my phone. why do I get like that?,
558634,Google,Ashish A,"May 7, 2019",5,nice to hear service,nice to hear services,
558638,Google,Natubhai Panchal,"May 7, 2019",5,good but i want to download good pay by whatsit invite friend but do not download why,good but i want to download good pay by WhatsApp invite friends but do not download why?,
558643,Google,Easin Hossain,"May 7, 2019",5,so cut to use,so cut to use,
558645,Google,Tech Beats,"May 7, 2019",5,ok goole is the best,ok google is the best,
558652,Google,Khushi Roy,"May 7, 2019",4,i think goole have to camera each system also to easy to verify and scan anything,i think google have to camera seach system also to easy to verify and scan anything.,
558663,Google,Oghenevo Joseph,"May 7, 2019",1,my goole account is always stopped why,My Google account is always stopped why?,
558664,Google,Manasa M,"May 7, 2019",5,well nothing to say its one of the most useful application on a smartphone,well nothing to say its one of the most useful application on a smartphone,
558670,Google,Mukesh Rathor,"May 7, 2019",5,good application my life,good app my life,
558680,Google,Kundan Kumar,"May 8, 2019",5,mkm on look mkm mom my mom mk mom mom km mom on mon mom lombok km minim o mm minimum no minim l mom nonilion mojo on ml minimum km kin m ohm m non on mon,"mkm on look kmmmmkmm mom my mom mmk mom mom kmm nmom on Mon mom Lombok k.m minim o. mm,. minimum no mmminim. l mom nonillion mojo on ml minimum👚👚👚.. km. kin m ohm m non on Mon",
558683,Google,Ayres Bryant,"May 8, 2019",4,it is not bad at all,it's not bad at all,
558685,Google,Alverto Martinez,"May 8, 2019",4,it has great information,it has great information.,
558688,Google,Suryanarayanan Janardhana Iyer,"May 8, 2019",5,great till data z not sold,great till data Z not sold,
558689,Google,Chetan Hotakar,"May 8, 2019",5,its very helpful for unknown thing,its very helpful for unknown things,
558692,Google,Nashwa Nigar,"May 8, 2019",3,unable to find my location,unable to find my location,
558697,Google,Tony Stark,"May 8, 2019",1,i have not get goole redeem credit,i haven't get 140 google redeem credit,
558698,Google,Todd Salley,"May 8, 2019",5,love it but the voice is annoying,"love it , but the voice is annoying",
558701,Google,Chinmoy Chakraborty,"May 8, 2019",5,it can be better,It can be better,
558705,Google,vishesh dhama,"May 8, 2019",1,its not working application has stop responding hi but then again rha the is not done do din se hi hora h very bad,its not working .....app has stop responding hi bta rha ths is not donr do din se yhi hora h vry bad,
558710,Google,Shiv Tayal,"May 8, 2019",1,did not get my off please give it to me then i will rate star,didn't get my 140 off plz give it to me then i will rate 5 star,
558715,Google,gunjit kalita,"May 8, 2019",5,goole it for better review,google it for better review,
558729,Google,Nandha Kumar,"May 8, 2019",5,i have been using goole dor my browsing in internet and goole dor very fast and goole dor a good search engine for me,I have been using google dor my browsing in internet and its very fast and its a good search engine for me,
558730,Google,Pallavi Shree,"May 8, 2019",5,goole application is the best,Google app is the best,
558731,Google,Erick Welke,"May 8, 2019",5,haunt tried it yet,havnt tryed it yet,
558732,Google,Master_ BGM,"May 8, 2019",1,i am not getting goole play credit,I am not getting ₹140 google play credit,
558733,Google,Sarla Jain,"May 8, 2019",4,transition can be batter,tranletion can be batter,
558734,Google,Asrani Khan,"May 8, 2019",3,oh namas oh hi,OHI NAMASTE OHI BHI,
558741,Google,Floyd Wilson,"May 8, 2019",5,i love it it apart of my day everyday,i love it. its apart of my day everyday,
558742,Google,Jadipthakor Thakor,"May 8, 2019",1,m mo tv in joint baby cr v n uk bee back later c ov i o cj vu ut,m mo tv in joint bbc.by cr v nn lk bbl c ov I o cj vu ut,
558744,Google,Mukesh Soni,"May 8, 2019",5,vendor xhrgxv she has did cuddle either way,vendor xhrgxv she has did cuddle either way,
558748,Google,Oppo 2019,"May 8, 2019",1,goole assistant start goole assistant own and is so disturbing that i can not view anything on web it interrupt everything how can i get rid of it any remedy,google Assistant starts its own and is so disturbing that i cant view anything on web. it interrupts everything. how can i get rid of it? any remedy?,
558750,Google,Jyot Kaur,"May 8, 2019",3,we can learn more about new thing,We. can learn. more. abaut. new. things,
558753,Google,IB ALIF,"May 7, 2019",4,i love this application,i love this app😍😘😍,
558754,Google,Fahti ZEYBEK,"May 7, 2019",5,care to do this for you and i look forward to hearing back from,Care to do this for you and I look forward to hearing back from,
